id,team_name
7369,Celtic U20
7370,Spartak Brno
7371,Újpesti Dózsa
7372,AS Excelsior
7373,SKA Rostov
7374,Spartak Praha
7375,Vasas Izzó
7376,Etar
7377,Bohemians CKD
7378,LIAZ Jablonec
7379,Toronto Falcons
7380,ŠK Bratislava
7381,Spartak Sofia
7382,Bayer 05
7383,Zenit Leningrad
7384,Budapesti Vasas 
7385,Locomotiva B.
7386,Red Star ZH
7387,Iskra Bratislava
7388,FC Locomotive
7389,Lusitano FC
7390,Vard
7391,Dimitrovgrad
7392,Internapoli
7393,Sparta Praha
7394,Vancouver 86ers
7395,FCM Brasov
7396,Neret. Metkovic
7397,Rizespor
7398,Venados II
7399,Atlas U17
7400,Anger
7401,Toluca U20
7402,Valle de Bravo
7403,Toluca U17
7404,Le Mans FC B
7405,SC Interwetten
7406,St. Pölten U17
7407,St. Pölten U15
7408,St. Pölten Jgd
